Deltat;T;DeltaT;pinj;pdet
0.05;182.04;44.157;260.54138;214.67141
0.05;182.286;44.157;260.55107;214.64977
0.04;182.409;44.28;260.55591;214.63897
0.05;182.778;44.28;260.57041;214.60657
0.05;182.901;44.526;260.57524;214.59579
0.04;183.27;44.526;260.58971;214.56346
0.05;183.516;44.649;260.59934;214.54193
0.05;184.008;44.403;260.61856;214.49895
0.04;184.254;44.526;260.62816;214.47749
0.05;184.5;44.649;260.63775;214.45606
0.05;184.746;44.772;260.64732;214.43464
0.05;185.115;44.649;260.66166;214.40256
0.04;185.361;44.772;260.67121;214.3812
0.05;185.607;44.772;260.68074;214.35986
0.04;185.853;44.895;260.69026;214.33855
0.05;186.099;44.895;260.69978;214.31725
0.05;186.345;44.895;260.70928;214.29598
0.04;186.591;45.018;260.71877;214.27473
0.05;186.837;45.018;260.72825;214.2535
0.05;187.083;45.141;260.73771;214.23229
0.05;187.452;45.141;260.75189;214.20052
