Deltat;T;DeltaT;pinj;pdet
0.04;150.0436;0;259.18042;217.67972
0.05;150.3101;0;259.1926;217.65303
0.05;150.5766;0;259.20477;217.62637
0.04;150.7898;0;259.21449;217.60506
0.05;151.0563;0;259.22662;217.57845
0.05;151.3228;0;259.23874;217.55187
0.04;151.536;0;259.24843;217.53063
0.05;151.8025;0;259.26052;217.5041
0.04;152.0157;0;259.27019;217.4829
0.05;152.2822;0;259.28225;217.45643
0.05;152.5487;0;259.2943;217.42998
0.05;152.8152;0;259.30633;217.40357
0.04;153.0284;0;259.31595;217.38246
0.05;153.2949;0;259.32796;217.35609
0.05;153.5614;0;259.33995;217.32976
0.04;153.7746;0;259.34953;217.30872
0.05;154.0411;0;259.36149;217.28243
0.04;154.2543;0;259.37105;217.26143
0.05;154.5208;0;259.38299;217.2352
0.05;154.7873;0;259.39491;217.209
0.04;155.0005;0;259.40444;217.18806
0.05;155.267;0;259.41633;217.16191
0.05;155.5335;0;259.42821;217.13579
0.04;155.7467;0;259.4377;217.11492
0.05;156.0132;0;259.44955;217.08885
0.04;156.2264;0;259.45902;217.06802
0.05;156.4929;0;259.47085;217.042
0.05;156.7594;0;259.48266;217.01602
0.04;156.9726;0;259.49209;216.99525
0.05;157.2391;0;259.50388;216.96932
0.05;157.5056;0;259.51564;216.94341
0.04;157.7188;0;259.52505;216.92271
0.05;157.9853;0;259.53679;216.89685
0.04;158.1985;0;259.54617;216.87619
0.05;158.465;0;259.55788;216.85038
0.05;158.7315;0;259.56958;216.82461
0.04;158.9447;0;259.57893;216.80401
0.05;159.2112;0;259.5906;216.77829
0.05;159.4777;0;259.60225;216.75259
0.04;159.6909;0;259.61157;216.73206
0.05;159.9574;0;259.6232;216.70641
0.05;160.2239;0;259.63481;216.6808
0.04;160.4371;0;259.64409;216.66033
0.05;160.7036;0;259.65568;216.63476
0.05;160.9701;0;259.66725;216.60923
0.04;161.1833;0;259.6765;216.58882
0.05;161.4498;0;259.68805;216.56333
0.05;161.7163;0;259.69958;216.53788
0.04;161.9295;0;259.70879;216.51753
0.05;162.196;0;259.7203;216.49212
0.04;162.4092;0;259.72949;216.47182
0.05;162.6757;0;259.74097;216.44646
0.05;162.9422;0;259.75244;216.42114
0.04;163.1554;0;259.7616;216.40089
0.05;163.4219;0;259.77303;216.37562
0.05;163.6884;0;259.78446;216.35037
0.04;163.9016;0;259.79359;216.33019
0.05;164.1681;0;259.80498;216.30499
0.04;164.3813;0;259.81409;216.28485
0.05;164.6478;0;259.82546;216.2597
0.05;164.9143;0;259.83682;216.23458
0.04;165.1275;0;259.84589;216.2145
0.05;165.394;0;259.85722;216.18943
0.05;165.6605;0;259.86854;216.16439
0.04;165.8737;0;259.87758;216.14438
0.05;166.1402;0;259.88887;216.11938
0.04;166.3534;0;259.89789;216.09941
0.05;166.6199;0;259.90915;216.07446
0.05;166.8864;0;259.9204;216.04955
0.04;167.0996;0;259.92939;216.02963
0.05;167.3661;0;259.94062;216.00477
0.05;167.6326;0;259.95182;215.97993
0.05;167.8991;0;259.96302;215.95512
0.04;168.1123;0;259.97197;215.93529
0.05;168.3788;0;259.98313;215.91053
0.04;168.592;0;259.99206;215.89074
0.05;168.8585;0;260.0032;215.86602
0.05;169.125;0;260.01433;215.84134
0.04;169.3382;0;260.02323;215.82161
0.05;169.6047;0;260.03433;215.79697
0.05;169.8712;0;260.04542;215.77236
0.04;170.0844;0;260.05428;215.75269
0.05;170.3509;0;260.06534;215.72813
0.04;170.5641;0;260.07419;215.70851
0.05;170.8306;0;260.08522;215.68399
0.05;171.0971;0;260.09625;215.65951
0.04;171.3103;0;260.10506;215.63994
0.05;171.5768;0;260.11606;215.61551
0.05;171.8433;0;260.12704;215.5911
0.04;172.0565;0;260.13582;215.57159
0.05;172.323;0;260.14678;215.54723
0.05;172.5895;0;260.15773;215.5229
0.04;172.8027;0;260.16647;215.50345
0.05;173.0692;0;260.17739;215.47917
0.04;173.2824;0;260.18612;215.45976
0.05;173.5489;0;260.19702;215.43552
0.05;173.8154;0;260.2079;215.41131
0.04;174.0286;0;260.21659;215.39196
0.05;174.2951;0;260.22745;215.3678
0.05;174.5616;0;260.23829;215.34367
0.05;174.8281;0;260.24912;215.31956
0.04;175.0413;0;260.25778;215.30029
0.05;175.3078;0;260.26858;215.27623
0.04;175.521;0;260.27721;215.257
0.05;175.7875;0;260.28799;215.23299
0.05;176.054;0;260.29876;215.20901
0.04;176.2672;0;260.30736;215.18984
0.05;176.5337;0;260.3181;215.1659
0.04;176.7469;0;260.32669;215.14677
0.05;177.0134;0;260.3374;215.12288
0.05;177.2799;0;260.34811;215.09901
0.04;177.4931;0;260.35666;215.07994
0.05;177.7596;0;260.36734;215.05612
0.05;178.0261;0;260.378;215.03233
0.04;178.2393;0;260.38652;215.01332
0.05;178.5058;0;260.39716;214.98958
0.04;178.719;0;260.40567;214.9706
0.05;178.9855;0;260.41628;214.94691
0.05;179.252;0;260.42688;214.92324
0.04;179.4652;0;260.43536;214.90432
0.05;179.7317;0;260.44593;214.8807
0.05;179.9982;0;260.4565;214.8571
0.04;180.2114;0;260.46494;214.83824
0.05;180.4779;0;260.47548;214.81469
0.05;180.7444;0;260.48601;214.79117
0.04;180.9576;0;260.49442;214.77237
0.05;181.2241;0;260.50492;214.74889
0.04;181.4373;0;260.51332;214.73013
0.05;181.7038;0;260.52379;214.7067
0.05;181.9703;0;260.53426;214.68329
0.04;182.1835;0;260.54262;214.66459
0.05;182.45;0;260.55306;214.64123
0.05;182.7165;0;260.56349;214.61789
0.04;182.9297;0;260.57183;214.59925
0.05;183.1962;0;260.58223;214.57596
0.04;183.4094;0;260.59054;214.55735
0.05;183.6759;0;260.60092;214.53411
0.05;183.9424;0;260.61129;214.5109
0.04;184.1556;0;260.61958;214.49234
0.05;184.4221;0;260.62992;214.46917
0.04;184.6353;0;260.63819;214.45066
0.05;184.9018;0;260.64851;214.42754
0.05;185.1683;0;260.65881;214.40444
0.04;185.3815;0;260.66705;214.38598
0.05;185.648;0;260.67733;214.36293
0.05;185.9145;0;260.6876;214.3399
0.04;186.1277;0;260.69581;214.3215
0.05;186.3942;0;260.70606;214.29852
0.05;186.6607;0;260.71629;214.27557
0.04;186.8739;0;260.72447;214.25722
0.05;187.1404;0;260.73468;214.23431
0.04;187.3536;0;260.74284;214.216
0.05;187.6201;0;260.75302;214.19314
0.05;187.8866;0;260.7632;214.1703
0.04;188.0998;0;260.77133;214.15204
0.05;188.3663;0;260.78148;214.12925
0.05;188.6328;0;260.79162;214.10648
0.04;188.846;0;260.79972;214.08829
0.05;189.1125;0;260.80983;214.06556
0.04;189.3257;0;260.81792;214.0474
0.05;189.5922;0;260.82801;214.02472
0.05;189.8587;0;260.83809;214.00207
0.04;190.0719;0;260.84614;213.98396
0.05;190.3384;0;260.8562;213.96135
0.05;190.6049;0;260.86624;213.93877
0.04;190.8181;0;260.87427;213.92072
0.05;191.0846;0;260.88429;213.89818
0.04;191.2978;0;260.8923;213.88017
0.05;191.5643;0;260.90229;213.85767
0.05;191.8308;0;260.91228;213.8352
0.04;192.044;0;260.92026;213.81724
0.05;192.3105;0;260.93022;213.79482
0.05;192.577;0;260.94017;213.77242
0.04;192.7902;0;260.94812;213.75451
0.05;193.0567;0;260.95805;213.73216
0.04;193.2699;0;260.96598;213.71429
0.05;193.5364;0;260.97589;213.69198
0.05;193.8029;0;260.98578;213.66969
0.04;194.0161;0;260.99368;213.65187
0.05;194.2826;0;261.00355;213.62963
0.05;194.5491;0;261.01341;213.60741
0.04;194.7623;0;261.02129;213.58965
0.05;195.0288;0;261.03112;213.56747
0.04;195.242;0;261.03898;213.54975
0.05;195.5085;0;261.04879;213.52762
0.05;195.775;0;261.05859;213.50551
0.04;195.9882;0;261.06642;213.48784
0.05;196.2547;0;261.0762;213.46578
0.05;196.5212;0;261.08597;213.44374
0.04;196.7344;0;261.09377;213.42612
0.05;197.0009;0;261.10351;213.40412
